die	dead, deceased, disabled
hum	human, hum, humming, heard, happy
heaven	human
each	
breast	breast, breastfeeding, born
Maybe	
penetrate	penetrated, present, penetrating
exceed	exceptional, extraordinary, exceeded
intensify	intelligent, impaired
wax	wax, willing
bubble	bubble
transcend	transformed
shoulder	strong, standing
strut	strong, standing
twins	
factor	factor
silence	silenced, silent, sound
comfort	comforting
obviously	
speculate	smart, speculative
tweak	
advocate	able
pose	posed, present, photographed, posing
rate	rated, ranked
thanks	
blaze	burned, burning
knows	knowledgeable
buck	
describe	described
snack	
fork	fork, functional
spark	spark, something
specify	specified, something
parse	parsed
fake	fake, false, faked
pour	
glare	
itself	independent, itself
price	priced
mom	maternal
Monday	
chance	capable, clever
Tony	
export	exported, exporting, exports
realise	realised
unlock	unlocked
plug	plugged, portable, plug, powered
stretch	stretched, strong
personally	
nonetheless	
tel	tele, tel
reckon	retarded
week	
disrupt	disruptive, disrupted, disrupting, destructive, disturbed, dangerous, disruption
administer	administered, available, able, alive
smash	smashed, strong, smashing
person	
enlarge	enlarged, enormous
before	
simmer	sentient
Friday	
presume	possible
remains	
adhere	adherent
prize	powerful
sheep	sentient, superhuman, sound
KO	
distort	distorted, deceptive, dishonest
pardon	
prioritize	
el	
assemble	assembled, able
seed	seed, seeds, seeded, sentient
threaten	threatened, threatening
anymore	able, alive
suppose	sane
scout	scouting, scouts, smart
people	
dad	disabled
crush	crushed, crushing
crown	crowned
through	through
intersect	involved
runaway	
spear	strong, sentient
dissent	dissent, dissenting, different
audition	available, able
stream	streaming, streamed
shutter	silent
wee	wee, wet
hitch	human, hitch
rust	retarded
seat	seated, standing, sitting
bottom	
flare	
weave	weaving, woven
spray	sprayed, spray, spraying
revel	
stain	stained, stain, solvent
big	big
apprentice	able
U	
invent	invented, intelligent, inventive, innovative, inventor
moon	
remake	remake
iron	iron
brood	born
zoom	
equal	equal, equivalent, equals
wrap	wrapped, wrap, wrapping
Earth	
ease	easy
boys	blind
assassinate	armed, alive
apparently	able
condemn	condemned
couple	compatible
barbecue	barbecue, bbq, blind
March	
milk	milk
encounter	encountered
summon	summoned, sentient
blitz	
al	able, alive
seek	seeking, sought
Rock	rock
flap	flying, flexible, furry
stuff	something, sentient, smart
for	for
whatever	
fuss	
effect	effective, effected
duel	dangerous
short	short, shorter, small, strong
strive	striving, successful, strong
occupy	occupied, occupying
slaughter	slaughtered, sentient
rub	rubbed, rub, rubbing
bar	blind
redeem	redeemed
plea	
dodge	disabled
plant	planted, plant, present
DO	done, do
crop	crop, cultivated
since	sentient, smart, superhuman
obsess	obsessed, obsessive, ocd
exhibit	exhibited, expressive
trans	trans, transgender, transsexual
revisit	
flesh	flesh
hedge	hedge
house	housed, house, housing, habitable, home
refill	
install	installed, included
snake	sentient, strong, sound
minister	minister
remind	remembered
percent	
human	human, humanoid
ignore	ignored, invisible, impossible, irrelevant, indifferent
kind	kind
fell	
alright	able, alive
calm	calm, calming, calmed
usually	
retake	
justice	
filter	filtered, filtering, filter, filters
brown	brown, black
analyze	analytical, analyzed, able
quarrel	
treat	treated
interact	intelligent, involved
accidentally	able, automatic
birth	born
scratch	scratched, sound, strong, scratch
aspire	ambitious, able, accomplished
Wrestle	
or	
comeback	capable
trespass	there
sack	strong, sentient, sacked
retain	retained, remembered
issue	issued
vacation	
grasp	
recap	
plunge	
butt	butt
mold	mold, molded, mould
ash	ash, able, alive, ashes, active
great	great
grade	good, gifted, graded
label	labeled
master	
certainly	capable
link	linked
credit	credited, credit
dose	dose
attract	attractive, attracted, appealing
jet	
Jack	
tag	tagged
fool	fooled, fool
rotate	rotating, rotated, rotate
mislead	malicious
uphold	
pit	powerful
Read	read, reading, reader
egg	egg, eggs
naturally	natural, naturally, normal
degrade	degraded, defective, degrading, disabled, damaged, destructive, destroyed
pulse	present
tap	tapped, tapping
number	number
deter	deter, dangerous, deterrent, determined
action	active, able, action, acting, alive, aware
ramp	
others	
owe	owed, owing, owe
completely	complete, capable
exactly	
overturn	overturned
dwarf	
injury	injured, impaired
advertise	advertising, advertised, available, active, able
cow	cow, capable
breath	breathing, born
pant	pant
gossip	gossip
parade	present
purchase	purchased, present
differentiate	different, differentiated
bastard	
pen	
scrap	scrap, scrapped
combine	combined, combining
Mars	
amount	able
grind	grinding
recently	
bully	bullied, bullying, bully, bullies
PR	pr, productive, present
bank	bank, banking
Phoenix	
display	displayed, displaying
November	
missed	
inside	inside, intelligent, invisible
extend	extended, extending
moderate	moderate
moment	
swat	swat, strong
whiff	
guys	
changed	changed, changing
years	
damage	damaged, destructive, damaging, dangerous, damage, destroyed
ban	banned, blocked
his	human
almost	able, alive
Do	done, do, doing
cater	capable, competent
process	processing
brief	brief, bilingual
cluster	clustered, cluster, correlated
motivate	motivated, motivating, motivational
mess	messy, malicious
coordinate	coordinated, connected, coordinate
infiltrate	involved, infiltrated, infected
deceive	deceptive, dishonest, dangerous
LOL	
bang	bang, banging
wow	
scare	scary, strong
illuminate	illuminated, illuminating, intelligent, invisible
amplify	amplified, audible, active
exchange	exchanged, exchanging
overwhelm	overwhelmed, overwhelming, overpowered, overcome
of	
pivot	pivot
glitch	
decode	
blend	blended, blending, bilingual
contact	connected
bury	buried
broken	broken
monitor	monitored
ticket	
prick	
season	seasonal, sentient, season
transplant	transplant
GO	go
food	functional, food
is	intelligent, independent
subpoena	
drill	drilling, drilled
login	logged
lap	
deepen	deaf
shy	shy, silent, strong
error	
gorge	
Lord	
sled	strong
alive	alive, active, able
Not	
evade	
drain	drained, draining, dead, disabled
Jeff	
flight	flying, flown
b	bilingual
crib	
trail	tracked
cream	cream
squat	squat, standing
Steve	sentient, smart, sound
ex	ex, evil
ed	
everything	everything
hook	hooked, hook, human
inquire	interested, intelligent
NEVER	
comprehend	capable
sport	sport, sporting, sports, strong
slash	skilled, slashed, slash
promote	promoted, positive
bag	
least	
church	christian, catholic
port	portable, present, port
attach	attached, alive, able, adhesive
woo	willing
swap	swapped, swap, swapping
blue	blind
ok	ok
trouble	trouble, tough
ten	ten
endorse	endorsed
may	
grown	grown, growing
appropriate	appropriate, able, adaptive
S	sentient, sound, smart, superhuman
Rebel	
phase	phase
throttle	
loss	lost
sip	
condition	conditioned, conditional, condition
meltdown	
dash	disabled
forward	forward, forwards
would	
friend	friendly, friend, friends
Greg	
honey	human, heard
old	
rarely	
reconstruct	reconstructed, real, reliable
case	capable
fails	
t	t
few	
early	
sure	sentient, superhuman, strong, sure
abuse	abusive, abused, abuse
adventure	adventurous, able, ambitious
pencil	proficient
captain	capable, competent, captain
harass	harassed, harassing, hostile, harassment
punk	
round	round, rounded
directly	
compost	compost
prod	present
squeeze	strong, small
farewell	
fray	
everyone	
vest	
hammer	hammer, human
shape	shaped, something, sentient, solid, shape
failure	
dial	deaf
Tell	
employ	employed
validate	valid, validated, verified
pro	
within	within
chop	chop, chopped, chopping, cut
grip	
journal	
quiz	
team	
poison	poison, poisonous, poisoned
sentence	sentient, smart
induce	induced, involved
voice	vocal
amp	amp, able, audible, active
ret	
sick	sick, sentient
green	green
audit	able, accredited
ry	
incite	involved
Go	go
confront	challenged, capable
bleach	bleach
worm	worm, worms
ta	
Rule	
haha	human, heard
quiet	quiet
crowd	
lick	licking
inevitable	intelligent
model	modeling, modeled, model
overflow	overflow, overloaded, overflowing
Pop	
twice	
counsel	counsel, competent, capable
treasure	treasure
album	alive, able
render	rendered, rendering, render, real, represented
undo	undone, undo
future	future
forgotten	
thereafter	
Twitter	twitter, tweeting
award	awarded, able, accomplished
air	airborne, alive, audible, air, active, able
implement	implemented
rig	rig, rigged, reliable
instantly	instantaneous, instant, intelligent, instantly
chain	chained, connected, chain
pine	
cage	
warp	warp, warped
ferment	fermented, ferment, fermentation
medal	
blood	blood, born, blind
hour	human
correspond	communicating, connected
drunk	drunk, drinking
inject	injected, injecting, inject, infected
page	
amuse	amused, amusing, able, agreeable
scramble	scrambled, scrambling, smart
revolution	revolutionary, radical, revolution
happy	happy, human
less	less
populate	present
o	
shutdown	shutdown, sentient, shut, successful
limit	limited, limiting
pan	pan
sand	sand, solid, skilled, strong
er	
grant	granted, given
surgery	sentient
bullet	blind
kickoff	
Know	knowing, knowledgeable, knowledge, known
jazz	jazz
exhaust	exhaust
widen	
O	
five	five
ov	ov
respect	respected, respectful, respect
entirely	
publicly	public
shuttle	sentient
transgress	
must	
borrow	borrowed, borrowing
tears	
Rise	
recount	reliable, remembered, recalled
Christian	christian, christians
max	max
diet	disabled
wet	wet, waterproof
il	intelligent
brush	brush, brushed
and	able
pink	pink, purple
reassure	reassuring, reliable
reiterate	reliable
streak	superhuman, sentient, strong, smart
poke	poked, poking, poke
bunk	blind
yourself	yourself
Israel	intelligent
interest	intelligent, interested, interesting, interest
limp	limp
class	class, competent, capable
Follow	
app	able, app, accessible
gay	gay
pace	pacing, paced
recognise	recognised, real
stock	stock, stocked
should	sentient, strong
lunch	
things	
pastor	pastor
hop	human, hopping, hop
soil	sentient, strong, sound
quite	
sup	sentient, sound, strong
much	
correlate	correlated, connected
bites	blind
animate	animate, animated, alive, active
tan	tan
contain	contained, containing
waste	wasteful, wasted, waste, worthless
hem	human
crew	capable, crew, competent
stagger	sentient, strong
Trump	trump
toss	tossed, thrown, throwing
DC	deaf
rampage	
thought	thinking, thought
redesign	
simply	sentient, something
hij	human
divest	divest
reclaim	reclaimed, restored, reclaim
target	targeted
career	capable
gladly	
happened	human, heard
dip	dipping, drunk, dipped
